rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
133,J.T. Ginn,ATH,14.2,39.0,85.49473812705592,106.0,111.8,1.368421052631579,3.0,0.07692308,13.0,0.33333333,3.0681819511839237,3.0616532238772294
134,Mason Montgomery,PIT,1.0,3.0,88.16666666666667,105.6,105.6,10.666666666666666,1.0,0.33333333,2.0,0.66666667,0.0,3.533602594078333
135,Riley Martin,CHC,1.0,2.0,93.75,99.5,99.5,50.0,0.0,0.0,1.0,0.5,0.0,0.15126120661800607
136,Michael Lorenzen,COL,20.2,87.0,90.51149425287356,107.3,114.2,9.172413793103448,6.0,0.06896552,44.0,0.50574713,7.838710280288441,5.78509191742184
137,Cole Sulser,TBR,2.0,7.0,92.0142822265625,108.6,108.6,17.857142857142858,1.0,0.14285714,3.0,0.42857143,0.0,7.730411508090282
138,Ryne Nelson,ARI,20.2,67.0,91.24697043678977,106.3,112.4,19.53030303030303,7.0,0.10447761,34.0,0.50746269,6.9677428029455415,5.100931589956924
139,Emmet Sheehan,LAD,20.0,60.0,87.08999938964844,104.4,109.8,13.933333333333334,5.0,0.08333333,23.0,0.38333333,5.850000278949751,4.764983012466533
140,Braydon Fisher,TOR,1.0,4.0,98.07499694824219,103.2,103.2,17.25,1.0,0.25,3.0,0.75,0.0,10.732481255672916
141,Cade Horton,CHC,7.1,20.0,85.83157669870477,109.7,110.0,4.157894736842105,1.0,0.05,7.0,0.35,2.454545560947139,3.118482877382188
142,Cody Bolton,HOU,5.1,13.0,90.43636252663352,102.0,104.0,16.545454545454547,0.0,0.0,4.0,0.30769231,6.750000402331376,5.249704274807119
143,Jordan Leasure,CHW,1.1,4.0,80.0,99.9,99.9,33.0,0.0,0.0,1.0,0.25,0.0,2.9223814203493617
144,Zach Eflin,BAL,3.2,8.0,99.11250305175781,107.3,107.3,8.75,2.0,0.25,6.0,0.75,2.454545880152248,3.72774302715902
145,Mason Fluharty,TOR,1.0,5.0,89.74000244140625,109.1,109.1,38.8,1.0,0.2,2.0,0.4,9.0,6.526250580317156
146,Dean Kremer,BAL,11.0,25.0,87.5760009765625,105.3,108.6,15.4,4.0,0.16,9.0,0.36,4.090909090909091,4.072110351743755
