rank,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
74,Gavin Williams,CLE,12.134831720734322,5.157303481312087,2.35294118,1.2134831720734323,0.34782609,0.14782609,0.2,0.1326530612244898,1.0112359767278603,0.16666666666666666,0.94262295,50.44495835991236,94.83759307626866,74.32970429488623,2.1235955511285063,3.9185897457525902,-1.794994194624084,3.0953752547610516,3.4798345073256733
75,Dustin May,STL,7.2972974853850054,1.8243243713462514,4.0,1.0945946228077508,0.18867925,0.04716981,0.14150943,0.3333333333333333,1.5405405802479455,0.39473684210526316,0.6424581,148.97012726517892,98.67119724342272,97.63125894581317,5.837837988308004,3.954119661970676,1.8837183263373278,3.994176044277043,3.987086248830638
76,Andrew Painter,PHI,8.775000209212308,2.025000048279763,4.33333333,0.6750000160932544,0.21311475,0.04918033,0.16393443,0.3157894736842105,1.5750000375509272,0.3953488372093023,0.67961165,132.6675233734072,73.26147325773869,99.22515901367787,5.4000001287460355,3.068308828473091,2.3316913002729445,4.058239259032737,3.849346218691892
77,Kumar Rocker,TEX,8.27419380293181,3.4838710749186568,2.375,0.8709677687296642,0.21111111,0.08888889,0.12222222,0.2345679012345679,1.3064516530944963,0.2833333333333333,0.79365079,82.94243588760722,91.84181331612054,92.72874392669925,3.4838710749186568,3.8691153042026176,-0.38524422928396085,3.8787478251169265,3.850215537252624
78,Yusei Kikuchi,LAA,10.125000402331368,4.125000163912779,2.45454545,1.1250000447034854,0.24324324,0.0990991,0.14414414,0.2828282828282828,1.625000064571701,0.36231884057971014,0.69832402,130.50825963503087,94.76785811478537,91.57585527306797,5.625000223517427,4.018308865030608,1.6066913584868185,3.829661494199541,3.9118346364612466
79,Zac Gallen,ARI,4.909091030692832,2.454545515346416,2.0,0.7012987186704046,0.12727273,0.06363636,0.06363636,0.30097087378640774,1.4805195171930763,0.3333333333333333,0.76704545,86.68545794767292,98.2221326175651,112.44865469971732,3.506493593352023,3.8835685888577687,-0.37707499550574575,4.589727814077873,4.833400351253524
80,Grant Holmes,ATL,7.177215536441829,3.7594938524219104,1.90909091,1.0253165052059756,0.19626168,0.10280374,0.09345794,0.1875,1.1012658759619738,0.20833333333333334,0.76612903,84.92537330596112,106.88185393524256,107.04235488505616,3.4177216840199187,4.282549391601203,-0.8648277075812847,4.3724337985726835,4.557216629753091
81,Walbert Urena,LAA,12.0,3.0,4.0,0.0,0.33333333,0.08333333,0.25,0.18181818181818182,1.0,0.2857142857142857,0.66666667,69.60440237285256,35.84207936333249,63.2990308262383,3.0,1.4766421635945643,1.5233578364054357,2.6257242729266492,2.7095245282550677
82,Lance McCullers Jr.,HOU,9.295082112532477,3.9836066196567756,2.33333333,0.8852459154792836,0.24418605,0.10465116,0.13953488,0.24,1.3278688732189252,0.3076923076923077,0.57251908,146.3008537843381,95.53784226192786,95.32210404398107,6.196721408354985,3.9793744171027763,2.2173469912522084,3.9891648480478823,3.9817700824183007
83,Cade Cavalli,WSN,8.237288801329726,5.49152586755315,1.5,0.0,0.19354839,0.12903226,0.06451613,0.28205128205128205,1.7288136990445104,0.36666666666666664,0.64864865,102.84817924838423,87.52779385988542,122.73603380689974,4.118644400664863,3.60093598589066,0.5177084147742028,5.003205791966145,4.892342116812108
84,Kyle Freeland,COL,7.468085409451968,2.2978724336775285,3.25,0.5744681084193821,0.19402985,0.05970149,0.13432836,0.22033898305084745,1.0851064270143884,0.26666666666666666,0.86734694,50.43805813780325,89.26322352991465,101.75303918076837,2.2978724336775285,3.8454365183293646,-1.5475640846518361,4.15984169527451,3.814093078069826
85,Jack Flaherty,DET,9.257143361617135,7.714286134680946,1.2,0.38571430673404733,0.22222222,0.18518519,0.03703704,0.2,1.5857143721288611,0.26666666666666666,0.7253886,81.28503040930136,109.58612641225399,138.23309959984948,3.471428760606426,4.600451766812076,-1.1290230062056499,5.816178516033428,5.5844111029265715
86,Cade Povich,BAL,6.750000643730225,0.0,5.0,0.0,0.20833333,0.0,0.20833333,0.20833333333333334,0.7500000715255806,0.2631578947368421,0.8,32.15286380276631,40.47614453358426,83.94636053752916,1.350000128746045,1.64330868721007,-0.2933085584640249,3.5048218818557793,3.4841078659427343
