rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
146,Chris Paddack,MIA,14.2,99.51402597402597,84.96692307692307,87.14099999999999,,86.33076923076925,73.50846153846153,82.79288135593221,,,88.05170075866705,116.57029482377797,104.01337462786901
147,Jimmy Herget,COL,2.0,116.21,83.00363636363636,,,117.2242105263158,,74.26,,,105.28283422459893,63.14887700534759,56.465721925133685
148,Dean Kremer,BAL,11.0,98.9315,81.049,82.136,79.46864864864865,105.67999999999999,80.375,,,,85.4548705711344,99.17381600145357,91.43014281388166
149,Matt Waldron,SDP,3.2,113.74000000000001,85.4,86.62,,90.24,,,,,97.56493827160494,111.34938271604939,108.22
150,Shane Drohan,MIL,2.2,96.72,109.18,81.92,,94.32,98.7,88.82,,,91.96031746031746,99.00952380952381,99.32126984126984
151,Shane Smith,CHW,8.1,103.99540540540542,97.3625,,,87.69200000000001,85.7079245283019,103.3960975609756,,,96.83969140461215,93.42340125786163,91.62538532494759
152,Tomoyuki Sugano,COL,20.2,85.69767441860466,70.66235294117647,77.7644,71.4418918918919,83.01379310344828,76.40599999999999,,,,78.51765761244927,106.12408227660544,90.25795385769922
153,PJ Poulin,WSN,2.2,100.91600000000001,101.55066666666669,,,103.00399999999999,,64.12,,,97.48117647058821,98.82117647058823,94.90117647058824
154,Luis Severino,ATH,24.2,118.27233333333334,99.44194690265488,93.22468468468469,,123.684496124031,,85.87285714285714,,,106.77256338028168,92.66833802816902,99.39619506285023
155,Noah Cameron,KCR,20.0,84.85722772277227,,90.01362637362638,,95.07333333333334,102.52528301886792,92.00089552238805,,,91.09838388928468,107.17591978982838,101.56880880522458
156,Kodai Senga,NYM,17.1,97.57000000000001,88.66875000000002,87.72435897435898,,78.70487804878047,61.339999999999996,,,122.43561643835618,97.87052502099216,95.59318273470909,97.63127818093855
157,Jacob Lopez,ATH,18.1,82.6546551724138,77.02090909090909,85.26373333333335,,104.77011764705881,,77.44318181818181,,,87.04560439560439,98.95945054945057,92.14994505494506
158,Javier Assad,CHC,15.2,100.74,110.04057142857143,89.19357142857143,,118.87125,105.05,99.60666666666664,,,103.21111111111111,98.95543209876543,103.59654320987654
159,Andre Pallante,STL,20.0,92.66659793814433,100.3015,,97.77789473684211,89.14176470588234,,,94.35133333333333,,93.94557292285748,91.80686199928682,87.29352371330086
160,Chris Bassitt,BAL,16.0,84.21866666666666,93.860625,86.78466666666667,,127.68727272727273,108.57146067415731,73.75090909090908,,,96.41680911680912,95.7442735042735,90.52558404558404
161,Eric Lauer,TOR,12.2,83.04313725490196,,88.7264864864865,,97.18357142857143,86.82947368421053,82.42222222222222,,,85.79661255411256,93.50420815295814,79.28882756132754
162,Brandon Williamson,CIN,20.2,96.81648351648352,89.95588235294117,97.32444444444444,,128.96933333333334,115.9425,85.89708333333333,,,97.84490208649026,93.5046543886234,92.40790243618137
163,Justin Verlander,DET,3.2,88.1,,,,106.17666666666668,123.98,99.3,,,100.922,78.63950000000001,77.2625
164,Luinder Avila,KCR,3.0,95.42,108.3,,,98.64,100.06000000000002,76.32,,,100.25808219178083,94.47506849315069,96.80849315068494
