rank,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
52,George Kirby,SEA,3.0,2.0,0.0,5.0,5.0,33.1,7.2900002780914415,2.160000082397464,1.080000041198732,0.25842696629213485,0.82236842,0.602150537,0.142857142,96.7923455844268,2.9700001132965133,2.9071925071821405,3.8912946987152113,3.4840593203526367,0.4540636927923333
53,Luis Castillo,SEA,0.0,1.0,0.0,5.0,5.0,23.1,8.871429054883087,3.471428760606426,0.7714286134680947,0.3918918918918919,0.62827225,0.413333333,0.08,95.28578629032258,5.014285987542615,5.635557985027832,3.5698661220317,3.9259434847682924,0.4440579004829744
54,Michael King,SDP,3.0,1.0,0.0,5.0,5.0,27.2,8.457831519663053,4.554216972126259,0.3253012122947328,0.23880597014925373,0.80357143,0.439393939,0.037037037,93.98213873969183,2.2771084860631294,4.1934688703519765,3.6834633572628688,4.552854306830634,0.4417111077970165
55,Paul Skenes,PIT,3.0,1.0,0.0,5.0,5.0,22.0,9.409091342456104,2.863636495530119,0.8181818558657482,0.2037037037037037,0.72916667,0.436363636,0.08,97.61019447977229,3.272727423462993,2.3533332101206894,3.4594765029416603,3.83713430871821,0.43990098584522636
56,David Peterson,NYM,0.0,3.0,0.0,4.0,4.0,19.2,9.610169802202444,4.576271334382117,0.45762713343821165,0.390625,0.61797753,0.555555555,0.071428571,92.11718099625384,6.406779868134963,4.991729416044789,3.34468450718863,3.6605867522928137,0.431063987454776
57,Emerson Hancock,SEA,2.0,1.0,0.0,5.0,5.0,28.2,8.790697869382855,1.255813981340408,1.5697674766755099,0.23880597014925373,0.89473684,0.444444444,0.178571428,95.0790884052208,2.8255814580159178,3.832469347397032,3.9785039909985858,3.0514861066855152,0.4194952100964196
58,Kris Bubic,KCR,2.0,1.0,0.0,5.0,5.0,28.2,9.104651364717958,4.081395439356326,0.9418604860053059,0.23529411764705882,0.68345324,0.38028169,0.09090909,91.90343069522939,4.081395439356326,4.173165121566112,3.838969104182985,4.058289417464256,0.4153146563709445
59,Ranger Suarez,BOS,1.0,1.0,0.0,4.0,4.0,22.1,6.0447762054439975,2.4179104821775987,0.8059701607258662,0.25396825396825395,0.75471698,0.43076923,0.111111111,91.85102771577381,3.223880642903465,4.578022872259131,3.768160350669543,3.7100453961696305,0.40142345989416
60,Brandon Woodruff,MIL,2.0,0.0,0.0,4.0,4.0,23.2,7.60563400713515,1.5211268014270298,1.1408451010702725,0.22727272727272727,0.69148936,0.308823529,0.081081081,92.61499523725666,3.4225353032108172,2.787106834268062,3.732843981771048,4.230444174986309,0.399184443571091
61,Sandy Alcantara,MIA,2.0,2.0,0.0,5.0,5.0,35.1,5.858490618746151,3.0566038010849486,1.0188679336949829,0.21,0.77160494,0.460784313,0.09090909,97.32110658625966,3.0566038010849486,2.8440889306068535,4.414879587223709,4.652131746891193,0.398296268606115
62,Aaron Nola,PHI,1.0,2.0,0.0,5.0,5.0,26.2,9.78750023335219,3.3750000804662723,1.3500000321865089,0.3472222222222222,0.71856287,0.421052631,0.153846153,92.10179255558894,5.062500120699409,4.684817975377227,4.041294691562653,3.4293250594042037,0.3951631547852591
63,Joey Cantillo,CLE,1.0,0.0,0.0,5.0,5.0,25.1,10.657895673014863,4.263158269205945,1.0657895673014863,0.3157894736842105,0.77181208,0.4,0.115384615,91.73844052269345,3.197368701904459,3.676491871551957,3.8518210483059714,3.72080038672579,0.39185989494144613
64,Walker Buehler,SDP,1.0,1.0,0.0,4.0,4.0,17.2,9.16981165075524,3.05660388358508,0.5094339805975133,0.3191489361702128,0.64814815,0.458333333,0.083333333,93.83775838216145,4.58490582537762,3.9917576117620786,3.0280871188610887,3.224392762453083,0.39067888199541956
65,Jack Kochanowicz,LAA,2.0,0.0,0.0,5.0,5.0,29.0,5.896552111957952,5.275862415962378,0.31034484799778694,0.21428571428571427,0.73033708,0.583333333,0.041666666,96.446328125,3.1034484799778697,5.108457581527685,4.141294735875627,4.828747625594498,0.3621749411702526
66,Andrew Abbott,CIN,0.0,2.0,0.0,5.0,5.0,24.2,5.472973325637438,4.013513772134122,0.7297297767516585,0.3488372093023256,0.64676617,0.471264367,0.074074074,92.55824610275057,5.837838214013268,4.886877626480163,4.316970421538208,4.765071087654469,0.36069322404528636
67,Shane McClanahan,TBR,1.0,2.0,0.0,4.0,4.0,18.0,9.000000476837183,5.500000291400501,0.5000000264909547,0.24,0.53097345,0.404255319,0.05,95.21334163287214,5.000000264909547,4.68295945537626,3.6968502550949305,4.499449024036426,0.35994268390803463
68,Gavin Williams,CLE,3.0,1.0,0.0,5.0,5.0,29.2,12.134831720734322,5.157303481312087,1.2134831720734323,0.16666666666666666,0.94262295,0.551724137,0.2,96.82482632723722,2.1235955511285063,3.502103465967913,3.9165755855963402,3.0889388400681996,0.3545760974151407
